name,designer,artist,min_players,max_players,min_playtime,max_playtime,playing_time,min_age,complexity_rating,user_ratings,user_comments,type,category,mechanism,year,average_rating
Samurai,Reiner Knizia,Franz Vohwinkel,2,4,30,60,45,10,2.47,16000,4000,Strategy,"['Abstract Strategy', 'Medieval']","['Area Majority / Influence', 'Hand Management', 'Hexagon Grid', 'Once-Per-Game Abilities', 'Set Collection', 'Tile Placement']",1998.0,7.5
Die Macher,Karl-Heinz Schmiel,"Bernd Brunnhofer, Marcus Gschwendtner, Harald Lieske",3,5,240,240,240,14,4.31,5700,2100,Strategy,"['Economic', 'Negotiation', 'Political']","['Alliances', 'Area Majority / Influence', 'Auction/Bidding', 'Dice Rolling', 'Hand Management', 'Simultaneous Action Selection']",1986.0,7.6
Dragonmaster,"G. W. ""Jerry"" D'Arcey",Bob Pepper,3,4,30,30,30,12,1.96,588,320,Strategy,"['Card Game', 'Fantasy']",['Trick-taking'],1981.0,6.6
Tal der Könige,Christian Beierer,Thomas di Paolo,2,4,60,60,60,12,2.67,356,125,Strategy,['Ancient'],"['Action Points', 'Area Majority / Influence', 'Auction/Bidding', 'Set Collection']",1992.0,6.6
Cathedral,Robert P. Moore,S. Mattusek,2,2,20,20,20,8,1.79,3600,1300,Abstract,"['Abstract Strategy', ""Children's Game"", 'City Building', 'Territory Building']","['Enclosure', 'Pattern Building', 'Pattern Recognition', 'Square Grid', 'Tile Placement']",1978.0,6.5
Mare Mediterraneum,Jean du Poël,Jean du Poël,2,6,240,240,240,12,3.0,85,32,Uncategorized,"['Civilization', 'Nautical']",['Dice Rolling'],1989.0,6.5
Acquire,Sid Sackson,"Eric Hibbeler, Scott O'Gara, Scott Okumura, Peter Whitley",2,6,90,90,90,12,2.5,20000,6200,Strategy,"['Economic', 'Territory Building']","['Hand Management', 'Investment', 'Market', 'Square Grid', 'Stock Holding', '+ 2 more']",1963.0,7.3
Lords of Creation,Martin Wallace,Bryan King,2,5,120,120,120,12,2.4,210,93,Uncategorized,"['Civilization', 'Fantasy']",['Modular Board'],1993.0,6.1
Bohnanza,Uwe Rosenberg,"Fréderic Bertrand, Marek Bláha, Andrea Boekhoff, Klemens Franz + 13 more",2,7,45,45,45,12,1.67,45000,9500,Family,"['Card Game', 'Farming', 'Negotiation']","['Hand Management', 'Negotiation', 'Set Collection', 'Trading']",1997.0,7.0
Elfenland,Alan R. Moon,"Doris Matthäus, Alan R. Moon",2,6,60,60,60,10,2.15,8800,2300,Family,"['Fantasy', 'Travel']","['Hand Management', 'Network and Route Building', 'Open Drafting', 'Point to Point Movement']",1998.0,6.7
El Caballero,"Wolfgang Kramer, Richard Ulrich",Doris Matthäus,2,4,90,90,90,13,3.18,1400,627,Strategy,['Exploration'],"['Area Majority / Influence', 'Tile Placement']",1998.0,6.5
Ra,Reiner Knizia,"Allison Kline, Gahyun Lee, Ian O'Toole, Tiago Sousa, Franz Vohwinkel",2,5,45,60,52,12,2.34,24000,6100,Strategy,"['Ancient', 'Mythology']","['Auction: Once Around', 'Auction/Bidding', 'Closed Economy Auction', 'Constrained Bidding', 'Hidden Victory Points', '+ 2 more']",1999.0,7.6
Cosmic Encounter,"Bill Eberle, Jack Kittredge, Bill Norton, Peter Olotka","John Blanche, Chris Ferguson, Anders Jeppsson, Dean Morrissey + 2 more",2,6,90,90,90,12,2.37,4000,1700,"Strategy,  Thematic","['Bluffing', 'Negotiation', 'Science Fiction']","['Alliances', 'Hand Management', 'Negotiation', 'Variable Player Powers']",1977.0,6.9
CATAN,Klaus Teuber,"Volkan Baga, Tanja Donner, Pete Fenlon, Jason Hawkins + 9 more",3,4,60,120,90,10,2.3,123000,21000,"Family,  Strategy","['Economic', 'Negotiation']","['Chaining', 'Dice Rolling', 'Hexagon Grid', 'Income', 'Modular Board', '+ 6 more']",1995.0,7.1
MarraCash,Stefan Dorra,"Marion Pott, Oliver Vogel",3,4,60,60,60,12,2.16,1100,409,Strategy,['Economic'],['Auction/Bidding'],1996.0,6.9
Basari,Reinhard Staupe,"John Kovalic, Lüders & Baran, Stefan Theurer",3,4,25,25,25,10,1.85,1700,680,"Family,  Strategy",['Negotiation'],"['Roll / Spin and Move', 'Set Collection', 'Simultaneous Action Selection']",1998.0,6.8
Button Men,James Ernest,"Pete Abrams, Gerald Brom, Larry Elmore, Phil Foglio + 8 more",2,2,5,5,5,10,1.52,824,422,Customizable,"['Collectible Components', 'Dice', 'Fighting', 'Print & Play']","['Dice Rolling', 'Push Your Luck']",1999.0,6.4
Wacky Wacky West,Klaus Teuber,"Chris McGloughlin, Franz Vohwinkel",2,4,30,45,37,9,1.82,1900,656,Family,"['American West', 'Bluffing', 'City Building']","['Tile Placement', 'Voting']",1991.0,6.3
RoboRally,Richard Garfield,"Peter Bergting, Bob Carasca, Phil Foglio, Daniel Gelon + 4 more",2,8,45,120,82,12,2.43,24000,5700,"Strategy,  Thematic","['Maze', 'Miniatures', 'Racing', 'Science Fiction']","['Action Queue', 'Bias', 'Grid Movement', 'Lose a Turn', 'Modular Board', '+ 4 more']",1994.0,7.1
Full Metal Planète,"Gérard Delfanti, Gérard Mathieu, Pascal Trigaux",Pascal Trigaux,2,4,90,90,90,12,3.14,765,225,Strategy,"['Miniatures', 'Science Fiction']","['Action Points', 'Real-Time']",1988.0,7.5
Divine Right,"Glenn Rahman, Kenneth Rahman","Kenneth Rahman, David C. Sutherland, III, David A. Trampier",2,6,360,360,360,12,3.2,587,317,"Thematic,  Wargames","['Fantasy', 'Political', 'Wargame']","['Dice Rolling', 'Events', 'Grid Movement', 'Hexagon Grid', 'Movement Points', '+ 7 more']",1979.0,7.2
Magic Realm,Richard Hamblen,"George Goebel, Richard Hamblen, Kim Gromoll, Randall C. Reed, Chris White (I)",1,16,60,240,150,12,4.55,2100,1200,"Strategy,  Thematic","['Adventure', 'Exploration', 'Fantasy', 'Fighting']","['Action Queue', 'Dice Rolling', 'Events', 'Modular Board', 'Paper-and-Pencil', '+ 6 more']",1979.0,7.3
Twilight Imperium,Christian T. Petersen,Bill Heagy,2,6,240,240,240,12,3.44,708,311,Thematic,"['Civilization', 'Negotiation', 'Political', 'Science Fiction', 'Space Exploration', 'Wargame']","['Dice Rolling', 'Hexagon Grid', 'Modular Board', 'Tile Placement', 'Variable Player Powers', 'Voting']",1997.0,6.6
Gateway to the Stars,Mark A. Snowden,(Uncredited),1,7,52,79,65,12,3.0,33,23,Wargames,"['Civilization', 'Exploration', 'Science Fiction', 'Wargame']",['Roll / Spin and Move'],1994.0,5.5
Battlemist,Christian T. Petersen,"Bill Heagy, Christian T. Petersen",2,6,200,200,200,12,3.2,326,144,"Thematic,  Wargames","['Exploration', 'Fantasy', 'Wargame']","['Dice Rolling', 'Hexagon Grid']",1998.0,5.9
Supremacy: The Game of the Superpowers,Robert J. Simpson,(Uncredited),2,6,120,300,210,12,3.12,1400,599,Wargames,"['Economic', 'Modern Warfare', 'Political', 'Wargame']","['Commodity Speculation', 'Dice Rolling']",1984.0,5.7
Age of Renaissance,"Don Greenwood, Jared Scarborough","Stephen Langmead, Kurt Miller",3,6,120,300,210,12,3.85,2200,816,Strategy,"['Civilization', 'Economic', 'Medieval', 'Renaissance']","['Area Movement', 'Auction/Bidding', 'Simulation']",1996.0,7.1
Illuminati,Steve Jackson (I),"Lar DeSouza, Jeffrey D. George, Frank Gerwin, John Grigni + 8 more",2,6,60,180,120,12,2.66,5100,1400,"Strategy,  Thematic","['Card Game', 'Humor', 'Negotiation', 'Political', 'Science Fiction']","['Dice Rolling', 'Network and Route Building', 'Open Drafting', 'Tile Placement', 'Variable Player Powers']",1987.0,6.5
Terrain Vague,"Franck Parcabe, Roland Scaron",Jacques Tardi,2,4,120,120,120,10,3.25,70,22,Uncategorized,"['Fighting', 'Humor']","['Action Points', 'Modular Board']",1993.0,6.7
Dark World,Eàmon Bloomfield,Chris Baker,2,5,90,90,90,10,1.91,836,354,Thematic,"['Adventure', 'Exploration', 'Fantasy', 'Fighting', 'Miniatures']","['Dice Rolling', 'Grid Movement']",1991.0,5.4
Buffalo Chess,Alex Randolph,"Wanjin Gill, Dahee Lee, Lisa Plangger",2,2,30,30,30,8,1.62,363,116,Abstract,"['Abstract Strategy', 'American West', ""Children's Game""]",['Grid Movement'],1975.0,6.1
Arkham Horror,"Charlie Krank, Richard Launius, Sandy Petersen, Lynn Willis",Tom Sullivan,1,8,180,180,180,12,2.41,565,192,Thematic,"['Adventure', 'Horror', 'Novel-based']","['Cooperative Game', 'Role Playing', 'Variable Player Powers']",1987.0,6.6
Federation & Empire,Stephen V. Cole,"William H. Keith, Jr., David Martin (II)",2,8,300,300,300,12,4.4,419,221,Wargames,"['Science Fiction', 'Wargame']","['Dice Rolling', 'Grid Movement', 'Hexagon Grid', 'Movement Points', 'Simulation']",1986.0,6.4
Dragon Masters,Ian Livingstone,Christos Achilleos,2,4,120,120,120,12,2.09,151,67,Wargames,"['Fantasy', 'Wargame']",['Roll / Spin and Move'],1991.0,5.8
Runes,"Bill Eberle, Jack Kittredge, Peter Olotka","Linda Bound, Franz-Josef Schulte",2,4,30,30,30,10,1.9,101,42,Uncategorized,"['Deduction', 'Word Game']",['Deduction'],1981.0,6.1
Darkover,"Bill Eberle, Jack Kittredge, Peter Olotka",Hannah M. G. Shapero,2,4,60,60,60,12,2.44,111,62,"Strategy,  Thematic","['Bluffing', 'Fantasy', 'Novel-based']","['Area Majority / Influence', 'Area Movement', 'Events', 'Open Drafting', 'Paper-and-Pencil', '+ 4 more']",1979.0,5.3
Borderlands,"Bill Eberle, Jack Kittredge, Peter Olotka","Frank Frazetta, Dean Morrissey",2,4,120,120,120,12,2.78,278,174,"Thematic,  Wargames","['Bluffing', 'Civilization', 'Fantasy', 'Negotiation', 'Political']","['Area Movement', 'Random Production', 'Simulation', 'Trading']",1982.0,6.7
Can't Stop,Sid Sackson,"Klemens Franz, Heiko Günther, Gabriel Laulunen (II), Ronan Le Maître + 4 more",2,4,30,30,30,9,1.15,18000,4400,Family,"['Dice', 'Racing']","['Dice Rolling', 'Push Your Luck', 'Race']",1980.0,6.9
Dark Tower,"Roger Burten, Alan Coleman, Vincent A. A. J. Erato",Bob Pepper,1,4,90,90,90,10,1.81,1400,628,Thematic,"['Adventure', 'Electronic', 'Exploration', 'Fantasy', 'Fighting']","['Area Movement', 'Push Your Luck']",1981.0,6.9
Tigris & Euphrates,Reiner Knizia,"Bascu, Christine Conrad, Doris Matthäus, Tom Thiel + 2 more",2,4,90,90,90,12,3.5,28000,7000,Strategy,"['Abstract Strategy', 'Ancient', 'Civilization', 'Territory Building']","['Area Majority / Influence', 'Connections', 'Hand Management', 'Hidden Victory Points', 'Highest-Lowest Scoring', '+ 4 more']",1997.0,7.7
Airlines,Alan R. Moon,Christian Schütte,2,6,90,90,90,12,2.42,374,128,Strategy,"['Aviation / Flight', 'Economic']","['Investment', 'Network and Route Building', 'Stock Holding']",1990.0,6.6
David & Goliath,Reinhard Staupe,"Alexander Bradley, Oliver Freudenreich",3,6,60,60,60,8,1.62,1700,681,Family,['Card Game'],['Trick-taking'],1997.0,6.5
Medici,Reiner Knizia,"David Cherry, Vincent Dutrait, Dominique Ehrhard, Jun Suemi, Franz Vohwinkel",2,6,60,60,60,10,2.25,8100,2400,Strategy,['Renaissance'],"['Auction: Once Around', 'Auction/Bidding', 'Income', 'Push Your Luck', 'Set Collection', 'Victory Points as a Resource']",1995.0,7.2
