name,description,designer,artist,publisher,min_players,max_players,min_playtime,max_playtime,playing_time,min_age,complexity_rating,user_ratings,user_comments,type,category,mechanism,family,year,average_rating
Die Macher,Players represent political parties attempting to gain power in Germany.,Karl-Heinz Schmiel,"Bernd Brunnhofer, Marcus Gschwendtner, Harald Lieske","Hans im Glück, Moskito Spiele + 7 more",3,5,240,240,240.0,14,4.31,5700,2100,Strategy,"Economic, Negotiation, Political","Alliances, Area Majority / Influence, Auction/Bidding, Dice Rolling, Hand Management, Simultaneous Action Selection","Country: Germany, Digital Implementations: VASSAL, Political: Elections, Series: Classic Line (Valley Games)",1986,7.6
Tal der Könige,Bid for colorful blocks to build pyramids in the Valley of the Kings.,Christian Beierer,Thomas di Paolo,KOSMOS,2,4,60,60,60.0,12,2.67,356,125,Strategy,Ancient,"Action Points, Area Majority / Influence, Auction/Bidding, Set Collection","Containers: Triangular Boxes, Country: Egypt, Promotional: Promo Board Games",1992,6.6
Dragonmaster,Fantasy factions face off in a trick-taking card game battle for plastic gems!,"G. W. ""Jerry"" D'Arcey",Bob Pepper,"E. S. Lowe Company Inc., Milton Bradley",3,4,30,30,30.0,12,1.96,588,320,Strategy,"Card Game, Fantasy",Trick-taking,"Components: Gems/Crystals, Creatures: Dragons, Theme: Art style – Art Nouveau",1981,6.6
Samurai,Dispute the favor of three different castes in order to unite Japan under your rule.,Reiner Knizia,Franz Vohwinkel,"Fantasy Flight Games, Hans im Glück + 15 more",2,4,30,60,45.0,10,2.47,16000,4000,Strategy,"Abstract Strategy, Medieval","Area Majority / Influence, Hand Management, Hexagon Grid, Once-Per-Game Abilities, Set Collection, Tile Placement","Components: Map (Continental / National scale), Country: Japan, Digital Implementations: Triqqy, Series: Euro Classics (Reiner Knizia), Series: Tile-Laying Trilogy (Reiner Knizia), Theme: Samurai",1998,7.5
Acquire,"Invest, divest, and stage hostile takeovers in this classic real estate game.",Sid Sackson,"Eric Hibbeler, Scott O'Gara, Scott Okumura, Peter Whitley","3M, The Avalon Hill Game Co + 11 more",2,6,90,90,90.0,12,2.5,20000,6200,Strategy,"Economic, Territory Building","Hand Management, Investment, Market, Square Grid, Stock Holding, + 2 more","Components: 9 x 12 Grids, Digital Implementations: VASSAL, Series: 3M Bookshelf Series",1963,7.3
Mare Mediterraneum,"Mediterranean empires vie for victory via trade, war and construction.",Jean du Poël,Jean du Poël,Historien Spiele Galerie (Historien Spielegalerie),2,6,240,240,240.0,12,3.0,85,32,Uncategorized,"Civilization, Nautical",Dice Rolling,"Containers: Tubes, Region: Mediterranean Sea",1989,6.5
Cathedral,Outwit your opponent and play all your pieces first in this abstract city-builder.,Robert P. Moore,S. Mattusek,"Brightway Products Ltd, Falomir Juegos, Family Games, Inc., Gazebo Games UK Ltd. + 6 more",2,2,20,20,20.0,8,1.79,3600,1300,Abstract,"Abstract Strategy, Children's Game, City Building, Territory Building","Enclosure, Pattern Building, Pattern Recognition, Square Grid, Tile Placement","Category: Combinatorial, Components: 10 x 10 Grids, Components: Polyominoes, Components: Wooden pieces & boards, Players: Two Player Only Games",1978,6.5
Lords of Creation,"Work together to construct a world, then compete to settle and fight over it!",Martin Wallace,Bryan King,"Vendetta, Warfrog Games",2,5,120,120,120.0,12,2.4,210,93,Uncategorized,"Civilization, Fantasy",Modular Board,,1993,6.1
El Caballero,Discover and control the new world by establishing influence on the edges of islands.,"Wolfgang Kramer, Richard Ulrich",Doris Matthäus,"999 Games, Hans im Glück, Rio Grande Games",2,4,90,90,90.0,13,3.18,1400,627,Strategy,Exploration,"Area Majority / Influence, Tile Placement",Game: El Grande,1998,6.5
Bohnanza,"Farm beans, harvest crops and trade your way to fortune in this card game classic.",Uwe Rosenberg,"Fréderic Bertrand, Marek Bláha, Andrea Boekhoff, Klemens Franz + 13 more",AMIGO + 26 more,2,7,45,45,45.0,12,1.67,45000,9500,Family,"Card Game, Farming, Negotiation","Hand Management, Negotiation, Set Collection, Trading","Components: Multi-Use Cards, Game: Bohnanza, Series: Bean Games (Lookout)",1997,7.0
