name,description,designer,artist,publisher,min_players,max_players,min_playtime,max_playtime,playing_time,min_age,complexity_rating,user_ratings,user_comments,type,category,mechanism,family,year,average_rating
"Patton's Vanguard: The Battle of Arracourt, 1944",Add a Brief Description,Michael Rinella,"Charles Kibler, J.C. Leyendecker","Revolution Games (II), Take Aim Designs",1.0,2.0,120.0,240.0,180.0,,2.64,63,39,Wargames,"Wargame, World War II",Area-Impulse,"Country: France, Region: Lorraine (France)",2017,7.1
Mario Kart 7: Super Sound Racing Game,Add a Brief Description,,,"Epoch Co., Ltd.",2.0,4.0,,,,6.0,,4,2,Uncategorized,Racing,Take That,,2013,7.1
Runewars Miniatures Game: Waiqar Infantry Command – Unit Upgrade Expansion,Add a Brief Description,Andrew Fischer,,Fantasy Flight Games,2.0,2.0,60.0,120.0,90.0,14.0,3.0,44,9,Uncategorized,"Fantasy, Miniatures, Wargame","Action Points, Action Queue, Dice Rolling, Point to Point Movement, Simultaneous Action Selection, Variable Player Powers",Players: Two Player Only Games,2017,7.5
#hashtags,Add a Brief Description,(Uncredited),(Uncredited),"Go Games, Inc.",4.0,99.0,,,,12.0,,1,2,Uncategorized,Party Game,Voting,,2014,8.0
StrongSword,Add a Brief Description,Daniel Mersey,,Westfalia Miniatures,2.0,6.0,45.0,180.0,112.5,12.0,,1,1,Uncategorized,"Book, Fantasy, Fighting, Miniatures, Wargame",,,2017,8.0
,Add a Brief Description,Adam Krzesinski,Roman Kucharski,Norticles,2.0,2.0,15.0,15.0,15.0,,,2,1,Uncategorized,"Card Game, Fighting",,Players: Two Player Only Games,,5.5
Adult Charades,Add a Brief Description,,,Kheper Games,3.0,20.0,30.0,90.0,60.0,18.0,,10,3,Uncategorized,"Action / Dexterity, Humor, Mature / Adult, Party Game","Acting, Team-Based Game",Traditional Games: Charades,2015,4.4
Jandwich,Add a Brief Description,Takahiro Shinozaki (篠崎　高広),fukazou (深蔵),SHINOJO,2.0,5.0,20.0,30.0,25.0,8.0,1.0,5,0,Uncategorized,Card Game,"Hand Management, Set Collection",,2017,6.3
Mini Rails,Take shares or lay tracks to maximize the value of your rail portfolio.,Mark Gerrits,"Scott Hartman, Steve Tse",Moaideas Game Design + 3 more,3.0,5.0,40.0,60.0,50.0,13.0,2.1,1600,388,Strategy,"Economic, Trains","Modular Board, Network and Route Building, Stock Holding","Crowdfunding: Spieleschmiede, Digital Implementations: Tabletopia, Series: Cube Rails",2017,6.9
DC Universe Miniature Game: Parademon Invasion Force,Add a Brief Description,,,Knight Models,2.0,4.0,,,,,,1,0,Uncategorized,Miniatures,Variable Player Powers,Comic Books: DC Universe,2017,8.0
