name,description,designer,artist,publisher,min_players,max_players,min_playtime,max_playtime,playing_time,min_age,complexity_rating,user_ratings,user_comments,type,category,mechanism,family,year,average_rating
Mosaic: GenCon 2022 Promo Pack 2,second set of 5 different promo cards,,,Forbidden Games,1.0,6.0,,,,,,11,9,Uncategorized,Expansion for Base-game,,,2022,7.7
Drunk Tales: The Horror Movie,"Race to become the sole horror movie survivor, get drunk, or both.","Adam Elliott, Marc Inneo",Adam Elliott,Drunk Tales,3.0,6.0,30.0,120.0,75.0,21.0,,1,0,Uncategorized,"Horror, Humor, Mature / Adult, Movies / TV / Radio theme, Party Game","Lose a Turn, Player Judge, Race, Roll / Spin and Move, Singing, + 4 more",Category: Drinking Games,2022,7.0
Twilight of the Gods: Age of Tribulations,"Utilize armies, mystical beasts, and heroes of renown in an epic battle to the death!","Chris Kluwe, Greg Kluwe, Chris Morgan, Justin Nouget",Clark Miller,Victory Point Games,2.0,4.0,20.0,30.0,25.0,14.0,3.5,6,4,Uncategorized,"Card Game, Mythology","Deck Construction, Hand Management, Memory, Open Drafting, Trading, Variable Player Powers",,2022,6.0
Warhammer Underworlds: Nethermaze – Deadly Depths Rivals Deck,A rivals deck for Warhammer Underworlds.,,,Games Workshop Ltd.,2.0,4.0,30.0,60.0,45.0,12.0,,4,2,Uncategorized,"Expansion for Base-game, + 3 more","Card Play Conflict Resolution, Dice Rolling, Variable Player Powers",Game: Warhammer Underworlds,2022,8.3
On the Road,"Tour with your band, get some new fans, and end up on stage!","Gabriele Bubola, Leo Colovini",Miguel Coimbra,Helvetiq,2.0,4.0,20.0,30.0,25.0,8.0,1.5,45,13,Uncategorized,,,Admin: Upcoming Releases,2023,5.7
Bestiary,Mix creature parts to create original chimeras.,Pablo Zamalvide,Pablo Zamalvide,(Web published),2.0,4.0,10.0,15.0,12.5,8.0,1.0,1,0,Uncategorized,"Card Game, Children's Game, Print & Play","Open Drafting, Pattern Building",,2022,8.0
Die Festung Hamburg,NATO vs. Warsaw Pact in the North German Plain,Fabrizio Vianello,Fabrizio Vianello,Thin Red Line Games,1.0,4.0,180.0,600.0,390.0,16.0,4.2,40,19,Wargames,"Modern Warfare, Wargame","Dice Rolling, Hexagon Grid, Simulation, Zone of Control","Country: Germany, Country: Netherlands, Country: Soviet Union, History: Cold War, Series: C3 Series (Thin Red Line Games), Theme: Alternate History, + 1 more",2022,9.5
Flick Racers,Flick and race on your table.,"Simon Konski, Jeppeh Olsen",,Det Dårlige Selskab,2.0,6.0,45.0,60.0,52.5,14.0,,1,1,Uncategorized,Racing,"Flicking, Race",,2022,8.0
Grammar Police,Correctly identify all the grammatical and/or spelling mistakes in sentences.,,,Bubblegum Stuff,4.0,99.0,30.0,60.0,45.0,12.0,,3,2,Uncategorized,Word Game,Team-Based Game,,2020,3.0
Shan Khay,Roll a dice and make mathematica operations,,,Diset S. A.,,,,,,,,1,0,Uncategorized,Number,Dice Rolling,,1998,5.0
Incountry,Fast-playing modern tactical miniatures using individual warfighter units.,Head Goon,,Enemy Spotted Studios,2.0,4.0,20.0,20.0,20.0,14.0,,5,1,Wargames,"Miniatures, Modern Warfare, Wargame",,"Admin: Upcoming Releases, Crowdfunding: Kickstarter",2022,8.4
Forage: A 9 card solitaire game,"Search the woodland and gather wild food, but watch out for those hungry mice!",Mark Tuck,Mark Tuck,"(Web published), Gém Klub Kft., Giga Mech Games",1.0,1.0,5.0,10.0,7.5,8.0,1.0,33,59,Uncategorized,"Abstract Strategy, Card Game, Print & Play","Melding and Splaying, Pattern Building, Solo / Solitaire Game, Tile Placement","Crowdfunding: Kickstarter, Mechanism: Partially overlapping cards, Players: Games with Solitaire Rules, Players: Solitaire Only Card Games, Players: Solitaire Only Games, Theme: Food / Cooking, + 1 more",2022,8.0
The Witcher: Old World – Big Box,"Explore the Continent, improve your skills, and fight other witchers for trophies.",Łukasz Woźniak,Damien Mammoliti,Go On Board + 5 more,1.0,5.0,90.0,150.0,120.0,14.0,2.5,74,18,Uncategorized,,,Admin: Upcoming Releases,2023,8.5
The Last Labour of Hercules: The English at Tangier versus the Sultanate of Morocco 1662-1684,Pike and Shot era historically accurate wargame on an obscure topic.,Ian Weir,Ian Weir,"Blue Panther, Red Sash Games",1.0,2.0,180.0,360.0,270.0,14.0,3.0,3,1,Wargames,"Arabian, Pike and Shot, Print & Play, Wargame","Campaign / Battle Card Driven, Point to Point Movement",Country: Morocco,2022,8.2
